License Number,License Type,Legal Business Name,D.B.A. (Doing Business As),Business Type,Medical Cannabis Retail,Social Equity Classified,Retail Site Address,Site Contact,Email,Local Authority,City,County,Site License Issued Date,License Expiration Date
MEZZO-L24-000135,Mezzobusiness,Skyco LLC,Skycare,Cultivation,N/A,Yes,N/A,Skylar Peterson,skylaranton2@gmail.com,Kanabec County,Braham,Kanabec,7/10/2026,7/10/2027
MEZZO-L24-000170,Mezzobusiness,Rolling Field Farms LLC,Dirty Flamingo Cannabis Company,Retail,No,Yes,"3094 White Bear Avenue, Maplewood, MN 55109",Amber Anderson,Rollingfieldsfarms@gmail.com,City of Maplewood,Maplewood,Ramsey,7/10/2026,7/10/2027
MICRO-L25-001223,Microbusiness,North Star Studio LLC,North Star Studio LLC,Cultivation,N/A,No,N/A,Derrick Strouss,"ejbroich@gmail.com
dmstrouss@yahoo.com",Mille Lacs County,Milaca,Mille Lacs,7/10/2026,7/10/2027
CUL-L25-000038,Cultivator,Lush Leaf MN LLC,Lush Leaf MN LLC,Cultivation,N/A,No,N/A,John Mackewich,"ronnie.kassab@jarscannabis.com
johnmackewich@mackewich.com",Mower County,Le Roy,Mower,7/9/2026,7/9/2027
MICRO-L24-000358,Microbusiness,Twilight Sun LLC,Twilight Sun LLC,Retail,Yes,Yes,"1439 W Lake Street, Minneapolis, MN 55408",Elias Russell,"terryjogene@gmail.com
erussell@jgmproperties.com",City of Minneapolis,Minneapolis,Hennepin,7/9/2026,7/9/2027
MICRO-L25-000913,Microbusiness,Weka Weka LLC,Weka Weka LLC,Retail,No,No,"4145 Hiawatha Avenue, Minneapolis, MN 55406",Bryan Longville,"ranellek@gmail.com
info@levitateddisp.com",City of Minneapolis,Minneapolis,Hennepin,7/9/2026,7/9/2027
MICRO-L25-000418,Microbusiness,Elevate Botanicals LLC,Elevate Botanicals LLC,Cultivation/Manufacturing,N/A,No,N/A,Joshua Colton,"youngboy25@mail.com
Joshua.colton@jcoltonlegal.com",Pine County,Willow River,Pine,7/7/2026,7/7/2027
WHLS-L25-000008,Wholesaler,"Fresh Fields Cannabis, LLC",Fresh Fields,Wholesaler,N/A,No,N/A,Brandon Tolliver,"gerardsc62@outlook.com
Tollie@teamiconusa.com",City of Minnetonka,Minnetonka,Hennepin,7/7/2026,7/7/2027
MEZZO-L24-000174,Mezzobusiness,"Green Owl Cannabis, LLC",MN Roots Elk River Dispensary,Retail,No,Yes,"18157 Carson Course NW, Suite# B Elk River, MN 55330",Curtis White,CLWhite@libbylawoffice.com,City of Elk River,Elk River,Sherburne,7/6/2026,7/6/2027
MICRO-L24-000569,Microbusiness,TruFarms LLC,TruFarms LLC,Manufacturing,N/A,Yes,N/A,Quinton Jones,customerservice@trufarms.net,City of Eden Prairie,Eden Prairie,Hennepin,7/6/2026,7/6/2027
MICRO-L25-000991,Microbusiness,Finnegan's Farm LLC,Finnegan's Farm LLC,Cultivation,N/A,No,N/A,Kelly Finnegan,"finnegansfarmproduce@gmail.com
kpep4615@gmail.com",Lake County,Two Harbors,Lake,7/6/2026,7/6/2027
MICRO-L25-000998,Microbusiness,Sota Sown LLC,Sota Sown LLC,Retail,No,No,"22321 Highway 10 Hawley, MN 56549",Jessica Greene,"codyericksonfarms@gmail.com
jess.sotasown@gmail.com",Clay County,Hawley,Clay,7/6/2026,7/6/2027
MICRO-L25-000488,Microbusiness,Liit LLC,Liit LLC,Cultivation,N/A,No,N/A,Brian Robson,robson.brian@yahoo.com,Wabasha County,Kellogg,Wabasha,7/2/2026,7/2/2027
MICRO-L25-001470,Microbusiness,Cabin Fever Co.,Cabin Fever Cannabis,Retail,No,No,"517 Minnesota Avenue W, Walker, MN 56484",Trenton Beyer,infobnv@proton.me,City of Walker,Walker,Cass,7/2/2026,2/5/2027
MICRO-L25-001526,Microbusiness,Cannaworld,Cannaworld,Manufacturing,N/A,Yes,N/A,Joshua Sinning,"Stpmcdo@yahoo.com
joshuasinning@gmail.com",Douglas County,Alexandria,Douglas,7/2/2026,7/2/2027
MICRO-L25-000864,Microbusiness,Minnissippi Flower Company LLC.,Minnissippi Flower Company LLC.,Cultivation,N/A,No,N/A,John Carlson,"thomas.j.carlson31@gmail.com
john@carlsonandjones.com",City of Annandale,Annandale,Wright,7/1/2026,7/1/2027
MICRO-L25-001229,Microbusiness,Budding Acres LLC,Budding Acres LLC,Cultivation,N/A,No,N/A,Megan Hinrichs,mmhinrichs20@gmail.com,Isanti County,Isanti,Isanti,7/1/2026,7/1/2027
MICRO-L25-000402,Microbusiness,Lucky Buds LLC,Lucky Buds LLC,Cultivation,N/A,Yes,N/A,Kathryn Blanchard,luckybudsmn@gmail.com,Isanti County,Isanti,Isanti,6/30/2026,6/30/2027
MICRO-L25-000977,Microbusiness,MUNCHIEZ CANNABIS MN LLC,MUNCHIEZ CANNABIS MN LLC,Retail,No,No,"1670 White Bear Avenue N, Saint Paul, MN 55106",Alalaye Adebo,munchiezcannabis@gmail.com,City of Saint Paul,Saint Paul,Ramsey,6/30/2026,6/30/2027
DEL-L24-000125,Delivery Service,Dank Session Delivery LLC,Dank Session Delivery LLC,Delivery Service,N/A,Yes,N/A,Andrew Maxwell,amaxwell@danksession.com,City of Bloomington,Bloomington,Hennepin,6/29/2026,6/29/2027
CUL-L24-000041,Cultivator,canna social LLC,BSD Labs,Cultivation,N/A,Yes,N/A,Mathew Little,mathew.little83@gmail.com,City of Mankato,Mankato,Blue Earth,6/26/2026,6/26/2027
MICRO-L25-001513,Microbusiness,Lake Laughs,Hi Cloud,Retail,No,No,"300 Belgrade Avenue, North Mankato, MN 56003",Madeline Peck,maddiepeck25@gmail.com,City of Mankato,North Mankato,Nicollet,6/26/2026,6/26/2027
CUL-L24-000052,Cultivator,"MVCC Le Sueur, LLC","MVCC Le Sueur, LLC",Cultivation,N/A,Yes,N/A,Cullen Leapaldt,"rsteffens@gmail.com
cleapaldt0622@hotmail.com",City of Winnebago,Winnebago,Faribault,6/25/2026,6/25/2027
MEZZO-L25-000014,Mezzobusiness,Blom Inc,Blom Inc,Retail/Manufacturing,No,No,"4024 Peavey Road, Chaska, MN 55318",Martin Stern,"edward.aaron.cohen@gmail.com
martin@blom.inc",City of Chaska,Chaska,Carver,6/24/2026,6/24/2027
MICRO-L24-000028,Microbusiness,Munch Cannabis Company L.L.C.,Munch Cannabis Company L.L.C.,Retail/Cultivation,No,Yes,"25246 Rice Road, Hinckley, MN 55037",Eric Welton,anokamnman@yahoo.com,Pine County,Hinckley,Pine,6/24/2026,6/24/2027
MICRO-L24-000288,Microbusiness,Bogside Growers LLC,Bogside Growers LLC,Cultivation,N/A,Yes,N/A,Marie Willms,marielynwillms@gmail.com,Becker County,Audubon,Becker,6/24/2026,6/24/2027
MICRO-L25-000333,Microbusiness,LMNO Dispensary LLC,LMNO Dispensary LLC,Retail,Yes,No,"102 E Grove Street, Caledonia, MN 55921",Adam Steele,"aca-prod.accela.com@adambha.com
adam@lmnodispensary.com",City of Caledonia,Caledonia,Houston,6/24/2026,6/24/2027
MICRO-L25-000469,Microbusiness,"TRA4, LLC",Randolph's Cannabis Reserve,Retail,No,No,"675 Randolph Avenue, Saint Paul, MN 55102",Lyle Gillson,"micci@mjweisslaw.com
lyle@randolphsreserve.com",City of Saint Paul,Saint Paul,Ramsey,6/24/2026,6/24/2027
MICRO-L25-001309,Microbusiness,"TSB, INC.","TSB, INC.",Retail,No,No,"1321 Center Avenue, Moorhead, MN 56560",Todd Byczek,toddbyczek@hotmail.com,City of Moorhead,Moorhead,Clay,6/24/2026,6/24/2027
MICRO-L24-000012,Microbusiness,Green Hub LLC,Green Hub LLC,Cultivation,N/A,Yes,N/A,Seth Brown,greenhub541@gmail.com,Houston County,Houston,Houston,6/23/2026,6/23/2027
MICRO-L24-000450,Microbusiness,The Grass Company L.L.C.,The Grass Company L.L.C.,Cultivation,N/A,Yes,N/A,Andrew Huttner,ajhuttner@yahoo.com,Becker County,Spruce Grove,Becker,6/22/2026,6/22/2027
MICRO-L25-000567,Microbusiness,Stoner's Choice LLC,Stoner's Choice LLC,Retail,No,No,"317 Central Avenue N, Faribault, MN 55021",Ashraf Sarameh,ashraf.sarameh@yahoo.com,City of Faribault,Faribault,Faribault,6/22/2026,6/22/2027
DEL-L24-000150,Delivery Service,Greenline Distribution LLC,Greenline Distribution LLC,Delivery Service,N/A,Yes,N/A,Yevgeniy Akselrod,aksel001@gmail.com,City of Minneapolis,Minneapolis,Hennepin,6/19/2026,6/19/2027
CUL-L24-000016,Cultivator,WeCan Cultivation Inc,WeCan Cultivation Inc,Cultivation,N/A,Yes,N/A,Nicholas Simon,nicholas.w.simon.1@gmail.com,City of Saint Joseph,Saint Joseph,Stearns,6/18/2026,6/18/2027
DEL-L25-000065,Delivery Service,Chronic Delivery LLC,Chronic Delivery LLC,Delivery Service,N/A,No,N/A,Jason Axelson,jason_axelson@outlook.com,City of Detroit Lakes,Detroit lakes,Becker,6/18/2026,6/18/2027
MICRO-L25-000427,Microbusiness,Green Leafs LLC,Green Leafs LLC,Retail,No,No,"2021 S Broadway Street, Suite# 2021 New Ulm, MN 56087",Sammy Sarameh,sammysarameh6@gmail.com,City of New Ulm,New Ulm,Brown,6/18/2026,6/18/2027
TRN-L24-000005,Transporter,Magic Touch Transportation LLC,Magic Touch Transportation,Transporter,N/A,Yes,N/A,Jessica Crowe,"danicrowe95@gmail.com
jessicacrowe95@gmail.com",City of Winnebago,Winnebago,Faribault,6/18/2026,6/18/2027
MICRO-L24-000236,Microbusiness,MARI J CREATIVES LLC,American Made Cannabis,Retail,No,Yes,"162 E 3rd Street, Winona, MN 55987",Andregina Gomez,"andregina.gomez0127@gmail.com
gina@americanmadecannabis.us",City of Winona,Winona,Winona,6/17/2026,6/17/2027
EVENT-26-000004,Event Organizer,Healing Fear Consulting LLC,MN Growers Ball LLC,Event Organizer,N/A,No,N/A,Kayla Fearing,MNGrowersBall@gmail.com,City of Saint Paul,Saint Paul,Ramsey,6/16/2026,End Date of Event 06/19/2026
MICRO-L25-000350,Microbusiness,Great Northern Greens LLC,Great Northern Greens LLC,Retail,No,No,"1100 Riverwood Drive, Burnsville, MN 55337",Rachael Pickett Theel,rptheel33@gmail.com,City of Burnsville,Burnsville,Dakota,6/16/2026,6/16/2027
MICRO-L25-000673,Microbusiness,Verde Light LLC,Eagan Canna,Retail,Yes,No,"2075 Cliff Road, Eagan, MN 55122",Hayley Lydig,hayley@myappmgmt.com,City of Eagan,Eagan,Dakota,6/16/2026,6/16/2027
MICRO-L25-001135,Microbusiness,Monday Park LLC,ST LOUIS PARK CANNA,Retail,Yes,Yes,"5690 W 36th Street, St. Louis Park, MN 55416",William Kapple,william@myappmgmt.com,City of Saint Louis Park,Saint Louis Park,Hennepin,6/16/2026,6/16/2027
MICRO-L24-000302,Microbusiness,On The Fly Coporation,On The Fly Coporation,Cultivation,N/A,Yes,N/A,Ray Mulvey,mulveyray@msn.com,Isanti County,Princeton,Isanti,6/15/2026,6/15/2027
MICRO-L24-000311,Microbusiness,Frost Leaf L.L.C.,Frost Leaf L.L.C.,Cultivation,N/A,Yes,N/A,Anthony Kretsch,anthony@frostleafmn.com,City of Watertown,Watertown,Carver,6/15/2026,6/15/2027
MICRO-L25-000931,Microbusiness,Tamarack Enterprises Corporation,Stinky Petes,Retail,No,No,"134 Sheridan Street W, Ely, MN 55731",Julia Petrzilka,oniontwo@gmail.com,City of Ely,Ely,Saint Louis,6/12/2026,6/12/2027
MICRO-L25-001080,Microbusiness,Sugarleaf LLC,Sugarleaf LLC,Retail,No,No,"72 E 3rd Street, Winona, MN 55987",Ryne Ryshavy,sugarleafdispo@gmail.com,City of Winona,Winona,Winona,6/12/2026,6/12/2027
MICRO-L25-001565,Microbusiness,FlowerSpot LLC,FlowerSpot LLC,Cultivation,N/A,No,N/A,Eric Heffron,e.heff@icloud.com,Chisago County,Taylors Falls,Chisago,6/11/2026,6/11/2027
MICRO-L25-000608,Microbusiness,Unwind MN LLC,Unwind MN LLC,Cultivation/Manufacturing,N/A,No,N/A,Theresa Sorenson,theresa@unwindmoorhead.com,City of Moorhead,Moorhead,Clay,6/10/2026,1/28/2027
DIS-L24-000039,Retail,Mohamed Shawky DBA Sufic Sorcery,The Joint Dispensary,Retail,Yes,Yes,"3496 Shoreline Drive, Wayzata, MN 55391",Mohamed Shawky,shawky13@gmail.com,City of Orono,Wayzata,Hennepin,6/9/2026,6/9/2027
MEZZO-L24-000211,Mezzobusiness,MB 08 Inc.,Float Cannabis Company,Cultivation,N/A,Yes,N/A,Jordan Kilian,jordankilian@gmail.com,City of Rochester,Rochester,Olmsted,6/9/2026,6/9/2027
MICRO-L25-001266,Microbusiness,Nuggets dispensary LLC,Nuggets dispensary LLC,Retail,No,No,"30581 Patriot Avenue Suite 1, Pequot Lakes, MN 56472",Heather Ingman,nuggetsdispensary@gmail.com,City of Pequot Lakes,Pequot Lakes,Crow Wing,6/9/2026,6/9/2027
DIS-L24-000274,Retail,Kaine Collective LLC,Kaine Collective LLC,Retail,No,Yes,"3920 Old Shakopee Road W, Bloomington, MN 55437",Erin Kaine,erinkaine94@gmail.com,City of Bloomington,Bloomington,Hennepin,6/8/2026,6/8/2027
MICRO-L24-000015,Microbusiness,Colonel & Claffey Cannabis Company LLC,Colonel & Claffey Cannabis Company LLC,Cultivation,N/A,Yes,N/A,Katie Claffey,info@colonelandclaffeycannabis.com,City of Cannon Falls,Cannon Falls,Goodhue,6/8/2026,6/8/2027
MICRO-L24-000454,Microbusiness,West Central Cannabis LLC,West Central Cannabis LLC,Cultivation,N/A,Yes,N/A,Gregory Decathelineau,gregdecat@yahoo.com,Swift County,Appleton,Swift,6/8/2026,6/8/2027
DIS-L24-000408,Retail,Wildflower Cannabis,Wildflower Cannabis,Retail,No,Yes,"520 N Broadway, Pelican Rapids, MN 56572",Danielle Royer,daniroyer5@gmail.com,City of Pelican Rapids,Pelican Rapids,Otter Tail,6/5/2026,6/5/2027
MICRO-L24-000347,Microbusiness,Traditional Market LLC,Traditional Market LLC,Retail,Yes,Yes,"513 Central Avenue NE, Minneapolis, MN 55413",Elias Russell,"SBYRNES151@gmail.com
ERussell@jgmproperties.com",City of Minneapolis,Minneapolis,Hennepin,6/5/2026,6/5/2027
MICRO-L25-000912,Microbusiness,Mary Pot'ins LLC,Mary Pot'ins LLC,Retail,No,No,"12990 1st Street, Becker, MN 55308",Mary Wedin,"jswmarketing2023@gmail.com
wedin911@gmail.com",City of Becker,Becker,Sherburne,6/5/2026,6/5/2027
MICRO-L25-001401,Microbusiness,"Full Spectrum Wellness, LLC",Full Spectrum Dispensary,Retail,No,No,"235 E Frazee Avenue, Vergas, MN 56587",Kyle Theisen,theisen.kyle@gmail.com,City of Vergas,Vergas,Otter Tail,6/4/2026,6/4/2027
MICRO-L25-001594,Microbusiness,Lakeview Leaf L.L.C.,The Greenhouse Cannabis Company,Retail,No,No,"508 Lake Street S, Forest Lake, MN 55025",Kelly Roberts,kelly@sendoff.co,City of Forest Lake,Forest Lake,Washington,6/4/2026,6/4/2027
MICRO-L25-000507,Microbusiness,Bake's,Bake's,Cultivation,N/A,Yes,N/A,Zachery Tiedeman,"alexander.rapelje@gmail.com
zach.tiedeman@bakescultivation.com",City of Moorhead,Moorhead,Clay,6/3/2026,6/3/2027
MICRO-L25-001583,Microbusiness,Summer Leaf L.L.C.,VELVET LEAF DISPENSARY,Retail,No,No,"3324 Hwy 10 E, Moorhead, MN 56560",Summar Waz,summerw2019@gmail.com,City of Moorhead,Moorhead,Clay,6/1/2026,6/1/2027
MICRO-L25-000394,Microbusiness,The Smoke Shop 763 LLC,The Smoke Shop Cannabis Dispensary,Retail,No,No,"11135 61st Street NE, Albertville, MN 55301",Felix Langford,TSSCannabisDispensary@gmail.com,City of Albertville,Albertville,Wright,5/29/2026,5/29/2027
MICRO-L25-000443,Microbusiness,Paradise Solution Management L.L.C.,High Horse Farms,Cultivation,N/A,No,N/A,Matthew Paradise,highhorsefarmsmn@gmail.com,City of Nowthen,Nowthen,Anoka,5/29/2026,5/29/2027
MICRO-L25-001351,Microbusiness,Mary Jane Hut LLC,Mary Jane Hut LLC,Retail,No,No,"121 Union Street S, Mora, MN 55051",Thamer Bandar,dandeliontobacco@gmail.com,City of Mora,Mora,Kanabec,5/26/2026,5/26/2027
MEZZO-L24-000185,Mezzobusiness,Gopher State Ganja LLC,MN Roots Hutchinson Dispensary,Retail,Yes,Yes,"48 Main Street S, Hutchinson, MN 55350",Billy Parker,bjparker2024@outlook.com,City of Hutchinson,Hutchinson,McLeod,5/22/2026,2/19/2027
MICRO-L25-000498,Microbusiness,NBS Supply Co.,Go4 Cannabis Co.,Retail,No,No,"7114 Otter Lake Road, Lino Lakes, MN 55038",Nicole Salak,Go4Cannabis@gmail.com,City of Lino Lakes,Lino Lakes,Anoka,5/22/2026,5/22/2027
MICRO-L25-000908,Microbusiness,HLR LLC,Cheeky Winona,Retail,No,No,"850 Menard Road, Winona, MN 55987",Laimonas Rimkus,laimis@cheekyextracts.com,City of Winona,Winona,Winona,5/22/2026,5/22/2027
MICRO-L25-000938,Microbusiness,KK Green Discovery LLC,Rochester Canna,Retail,Yes,No,"221 28th Street SE, Suite# 400-500 Rochester, MN 55904",Katlen Kim,"katlenkim@gmail.com
katlen@myappmgmt.com",City of Rochester,Rochester,Olmsted,5/22/2026,5/22/2027
MICRO-L25-001293,Microbusiness,PACK LLC,Marawanna,Retail,No,No,"5491 Adams Street, Suite# 100 Mounds View, MN 55112",Peter Schmidt,peter.schmidt@marawanna.org,City of Mounds View,Mounds View,Ramsey,5/22/2026,5/22/2027
TF-L25-000009,Testing Facility,PHYTOLAB MN LLC,PhytoLab MN,Testing Facility,N/A,No,N/A,William Solomon,casey@phytolabmn.com,City of Chisago City,Chisago City,Chisago,5/22/2026,5/22/2027
MICRO-L25-001270,Microbusiness,Inhale North LLC,Inhale North LLC,Cultivation,N/A,No,N/A,Michelle Schwab,shellyschwab@gmail.com,Cass County,Hackensack,Cass,5/21/2026,5/21/2027
MEZZO-L24-000072,Mezzobusiness,Loon Lettuce Inc,Loon Lettuce Inc,Retail,No,Yes,"603 Esch Dr. Caledonia, MN 55921",Brent Welch,brent@treehuggerscannabis.com,City of Caledonia,Caledonia,Houston,5/19/2026,5/19/2027
MICRO-L25-000902,Microbusiness,Theory Wellness of MN LLC,Theory Wellness of MN LLC,Retail/Cultivation/Manufacturing,No,No,"1915 Suburban Avenue, Saint Paul, MN 55119",James Judge,"nick@theorywellness.org
judge@theorywellness.org",City of Saint Paul,Saint Paul,Ramsey,5/15/2026,5/15/2027
MICRO-L25-000541,Microbusiness,Minny Grown Cannabis Company LLC,Minny Grown Cannabis Company LLC,Cultivation/Manufacturing,N/A,No,N/A,Zachary Rohr,zach@minnygrown.com,City of Cannon Falls,Cannon Falls,Goodhue,5/13/2026,5/13/2027
MEZZO-L24-000260,Mezzobusiness,JDMN Holdings LLC,No Coast Wellness,Retail,No,Yes,"501 1st Avenue NE, Minneapolis, MN 55413",John Mackewich,"dotsonjusmc@gmail.com
johnmackewich@mackewich.com",City of Minneapolis,Minneapolis,Hennepin,5/12/2026,3/23/2027
MICRO-L25-000611,Microbusiness,The Carver Cannabis Company,The Vault,Retail/Cultivation,No,No,"4110 Main Street, Saint Bonifacius, MN 55375",Christopher Dana,chris@carvercreamery.com,City of Saint Bonifacius,Saint Bonifacius,Hennepin,5/12/2026,5/12/2027
TRN-L25-000039,Transporter,BuzzFarm LLC,BuzzFarm LLC,Transporter,N/A,No,N/A,Benjamin Johnson,buzzfarm@gmail.com,City of Ramsey,Ramsey,Anoka,5/12/2026,5/12/2027
EVENT-26-000002,Event Organizer,Social AF LLC,Social AF Agency,Event Organizer,N/A,No,N/A,Dylan Ohm,mariesa@socialafagency.com,City of Minneapolis,Minneapolis,Hennepin,5/8/2026,5/18/2026
MICRO-L25-000331,Microbusiness,Stony Creek LLC,Stony Creek LLC,Cultivation,N/A,No,N/A,Adam Carlson,stonycreekbaker@gmail.com,City of Moorhead,Moorhead,Clay,5/7/2026,5/7/2027
MICRO-L25-000702,Microbusiness,HighRx LLC,HighRx LLC,Retail,No,No,"8300 University Avenue NE, Suite# 200 Fridley, MN 55432",Jerry Vang,highrxllc@gmail.com,City of Fridley,Fridley,Anoka,5/1/2026,5/1/2027
MICRO-L25-000815,Microbusiness,SPACE OUT THC LLC,SPACE OUT THC LLC,Retail,No,No,"7610 University Avenue NE, Fridley, MN 55432",Yamen Haidari,yamenhaidari@gmail.com,City of Fridley,Fridley,Anoka,5/1/2026,5/1/2027
TRN-L25-000051,Transporter,CRC Group LLC,CRC Group LLC,Transporter,N/A,No,N/A,Chad Woolson,chad.woolson@crcgp.com,City of Blaine,Blaine,Anoka,5/1/2026,5/1/2027
WHLS-L25-000032,Wholesaler,CRC Group LLC,CRC Group LLC,Wholesaler,N/A,No,N/A,Chad Woolson,chad.woolson@crcgp.com,City of Blaine,Blaine,Anoka,5/1/2026,5/1/2027
MICRO-L24-000063,Microbusiness,Hmp LLC,Watchtower Dispensary,Retail,No,Yes,"3400 University Avenue SE, Minneapolis, MN 55414",Zachary Kenning,Zak@farmhmp.com,City of Minneapolis,Minneapolis,Hennepin,4/30/2026,10/3/2026
MICRO-L25-000790,Microbusiness,H.O.B.O.T.E. LLC,H.O.B.O.T.E. LLC,Cultivation/Manufacturing,N/A,No,N/A,Melissa Hurtado,hobotellc@gmail.com,Otter Tail County,Sebeka,Otter Tail,4/30/2026,4/30/2027
TRN-L24-000011,Transporter,Greenline Distribution LLC,Greenline Distribution LLC,Transporter,N/A,Yes,N/A,Yevgeniy Akselrod,aksel001@gmail.com,City of Minneapolis,Minneapolis,Hennepin,4/24/2026,4/24/2027
WHLS-L24-000008,Wholesaler,Greenline Distribution LLC,Greenline Distribution LLC,Wholesaler,N/A,Yes,N/A,Yevgeniy Akselrod,aksel001@gmail.com,City of Minneapolis,Minneapolis,Hennepin,4/24/2026,4/24/2027
MICRO-L24-000426,Microbusiness,Do Be Kind LLC,Do Be Kind,Retail,No,Yes,"215 S Chestnut Street, La Crescent, MN 55947",Donald Weber,mweber@dobekind.com,City of La Crescent,La Crescent,Houston,4/23/2026,4/23/2027
MICRO-L24-000538,Microbusiness,The Grey Area LLC,The Grey Area LLC,Retail,No,Yes,"1330 Grand Avenue, Saint Paul, MN 55105",William Drexler III,greyareacannabismn@gmail.com,City of Saint Paul,Saint Paul,Ramsey,4/22/2026,4/22/2027
MICRO-L25-001298,Microbusiness,True North Greens L.L.C,Spring Lake Park Dispensary,Retail,No,No,"8478 Central Avenue NE, Spring Lake Park, MN 55432",Mutaz Amro,mutazamro191@gmail.com,City of Spring Lake Park,Spring Lake Park,Anoka,4/22/2026,4/22/2027
MICRO-L25-000370,Microbusiness,"DARKSTAR, LLC",Kind Bud Cannabis Company,Cultivation,N/A,No,N/A,L Michael Sayre,msayre68@gmail.com,City of Watertown,Watertown,Carver,4/21/2026,4/21/2027
MICRO-L25-000555,Microbusiness,Hyland Company LLC,Flowerz Cannabis Co.,Retail,No,No,"1464 Saint Clair Avenue, Suite# 102 Saint Paul, MN 55105",Kate Minachkina,office@flowerzdispensary.com,City of Saint Paul,Saint Paul,Ramsey,4/21/2026,4/21/2027
MICRO-L25-001288,Microbusiness,Really Dope LLC,Really Dope LLC,Retail,No,No,"162 Dale Street N, Saint Paul, MN 55102",Sofia Lorraine,Sofia@sofialorraine.com,City of Saint Paul,Saint Paul,Ramsey,4/21/2026,4/21/2027
TF-L25-000011,Testing Facility,Adams Independent Testing MN LLC,Adams Independent Testing MN LLC,Testing Facility,N/A,No,N/A,Mark Adams,ait@hempinspection.com,City of Moorhead,Moorhead,Clay,4/21/2026,4/21/2027
EVENT-26-000001,Event Organizer,Strains LLC,Strains of the Earth,Event Organizer,N/A,No,N/A,Megan Aber,megan.a@strainsllc.com,City of Jordan,Jordan,Scott,4/18/2026,4/20/2026
MICRO-L25-000576,Microbusiness, Wild Hog Co. LLC, Wild Hog Co. LLC,Cultivation,N/A,No,N/A,Charles Johnson,hougehill@gmail.com,Houston County,Caledonia,Houston,4/17/2026,4/17/2027
MICRO-L25-000889,Microbusiness,EmeraldFireMicro LLC,Emerald Fire Farms,Cultivation,N/A,No,N/A,Matt Siggerud,matt@emeraldfirecc.com,City of Winnebago,Winnebago,Faribault,4/17/2026,4/17/2027
MEZZO-L24-000185,Mezzobusiness,Gopher State Ganja LLC,"Gopher State Ganja, LLC",Manufacturing,N/A,Yes,N/A,Billy Parker,bjparker2024@outlook.com,Crow Wing County,Crosslake,Crow Wing,4/16/2026,2/19/2027
MICRO-L25-000490,Microbusiness,ADHI Enterprise LLC,ADHI Enterprise LLC,Retail,No,No,"2945 Hennepin Avenue, Minneapolis, MN 55408",Alla Ishkirat,allaishkirat@yahoo.com,City of Minneapolis,Minneapolis,Hennepin,4/16/2026,4/16/2027
MICRO-L25-001606,Microbusiness,GrowingGreen LLC,GrowingGreen LLC,Cultivation,N/A,No,N/A,Mike Mullen,"jmmullen13@outlook.com
mmullen@swanston.com",City of Moorhead,Moorhead,Clay,4/16/2026,4/16/2027
MICRO-L25-001342,Microbusiness,Great Cannabis LLC,Great Cannabis LLC,Retail,No,No,"14275 Bank Street, Becker, MN 55308",Saif Aljumaili,saifmounnis@gmail.com,City of Becker,Becker,Sherburne,4/15/2026,4/15/2027
MICRO-L25-000684,Microbusiness,Lion Cannabis LLC,Holy Smokes Cannabis,Retail,Yes,Yes,"7424 Lyndale Avenue S, Richfield, MN 55423",Nathan Bruen-O'Brien,leoslions22@gmail.com,City of Richfield,Richfield,Hennepin,4/14/2026,4/14/2027
MICRO-L25-001224,Microbusiness,Grow Gods LLC,Huff and Puff Smoke Shop,Retail,No,No,"1142 County Road E, Vadnais Heights, MN 55110",Tamara Lundberg,"wharasz@gmail.com
tamcatlund@outlook.com",City of Vadnais Heights,Vadnais Heights,Ramsey,4/13/2026,4/13/2027
MICRO-L25-001269,Microbusiness,Twin Cities High LLC,Twin Cities High LLC,Retail,No,No,"7702 Olson Memorial Highway, Golden Valley, MN 55427",Katherine Duff,"andy@twincitieshigh.com
katduff2015@gmail.com",City of Golden Valley,Golden Valley,Hennepin,4/10/2026,4/10/2027
MICRO-L25-001459,Microbusiness,Holstrum LLC,Holstrum LLC,Retail,No,No,"8711 E Point Douglas Road S, Unit# 108 Cottage Grove, MN 55016",Jesse Dolney,licensing@holstrum.com,City of Cottage Grove,Cottage Grove,Washington,4/10/2026,4/10/2027
MICRO-L25-001016,Microbusiness,Northern Cultivators LLC,Northern Cultivators LLC,Cultivation/Manufacturing,N/A,No,N/A,Tanner Boucher,"happychoice420@gmail.com
tannerboucher@northerncultivators.com",Otter Tail County,Clitherall,Otter Tail,4/8/2026,4/8/2027
MICRO-L25-000917,Microbusiness,Smith Farms North LLC,Trailhead Cannabis Company,Retail/Cultivation/Manufacturing,No,No,"17951 State Highway 371, Brainerd, MN 56401",Thomas Smith,tbgsmith@yahoo.com,Crow Wing County,Brainerd,Crow Wing,4/6/2026,4/6/2027
MICRO-L25-000831,Microbusiness,Secure As Fort Knox LLC,Bloom Wellness Coon Rapids,Retail,Yes,No,"2740 NW Main Street, Coon Rapids, MN 55448",Christopher Mergenthaler,cmergenthaler94@gmail.com,City of Coon Rapids,Coon Rapids,Anoka,4/2/2026,4/2/2027
MICRO-L25-000345,Microbusiness,HIJ Enterprises LLC,Weed Wishes Company,Retail,No,No,"2 SE 1st Street, Cook, MN 55723",John Chaulklin,johnchaulklin@aol.com,City of Cook,Cook,Saint Louis,4/1/2026,4/1/2027
